Country,Construction,Permitted,Pre-permit,Announced
Madagascar,0,0,30,0
Kenya,0,0,64,0
Niger,0,0,200,0
Eswatini,0,0,300,0
Zambia,0,0,0,300
Malawi,0,0,400,0
United States,0,0,0,400
Kyrgyzstan,0,0,0,600
Nigeria,0,600,0,0
Thailand,0,600,0,0
Uzbekistan,0,0,0,600
Botswana,0,0,750,0
Tanzania,0,0,600,200
Australia,0,0,"1,000",0
Mozambique,0,0,300,900
Brazil,0,600,726,0
Bosnia and Herzegovina,0,0,"1,450",0
Cambodia,315,700,0,0
Japan,650,0,500,0
Mongolia,350,450,400,650
Russia,285,0,820,"2,718"
Philippines,735,270,"1,420",700
Kazakhstan,195,0,636,"4,044"
TŸrkiye,145,"2,920","1,388","1,000"
Pakistan,732,"1,290","2,720",0
Zimbabwe,605,"1,120",750,"2,700"
South Africa,"1,600","1,455",0,"1,500"
Laos,660,"3,800",350,"2,226"
Vietnam,"5,365","2,000","1,960",0
Bangladesh,"5,820",0,"2,020","4,000"
Indonesia,"14,499",700,"2,950","1,100"
India,"31,600","14,420","12,783","8,770"
China,"136,237","98,940","96,063","60,460"