State,Construction,Permitted,Pre-permit,Announced
Assam,0,0,0,0
Delhi,0,0,0,0
Himachal Pradesh,0,0,0,0
Kerala,0,0,0,0
Meghalaya,0,0,0,0
Puducherry,0,0,0,0
Punjab state,0,0,0,0
Uttarakhand,0,0,0,0
Haryana,0,0,800,0
Gujarat,120,850,0,0
Andhra Pradesh,"1,500",0,30,0
Karnataka,0,0,0,"1,600"
Maharashtra,660,0,"1,320",0
Rajasthan,0,0,"2,120",250
Bihar,"2,640",0,0,0
West Bengal,660,0,"1,320",800
Madhya Pradesh,0,"4,180",660,0
Jharkhand,"3,720",0,0,"1,600"
Telangana,"5,600",800,0,0
Chhattisgarh,"3,000","1,600","2,193",0
Odisha,"1,400","4,070","1,700","1,600"
Tamil Nadu,"5,700","1,320","2,640",0
Uttar Pradesh,"6,600","1,600",0,"2,920"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,